	context_id	word	gold_sense_id	predict_sense_id	positions	context
66	2140	данные		2	50-58	Хочется думать, что Вера с ее богатыми природными данными попадет когда-нибудь в общество высоконравственных людей, которые помогут ей развить положительные качества ее натуры
67	2141	данные		4	108-115	У этой программы много функций, в частности она сортирует музыкальные библиотеки и переносит мультимедийные данные с компьютера в память плеера
68	2142	данные		0	9-16	Анкетные данные Захарчука были безупречны – фронтовик, коммунист, учится в заочной аспирантуре, дело свое знает, – ни к чему не придерешься
69	2143	данные		2	26-33	Меня же не только внешние данные привлекают – внутреннее содержание
70	2144	данные		0	29-36	Я заключаю договор, вписываю данные потерянного паспорта
71	2145	данные		0	3-10,104-111,126-133	По данным дивизии, до тылов германского окружения оставалось десять-пятнадцать верстКассиан Дамианович, данные проверенные? – Данные точные, сынок
72	2146	данные		0	22-29	Не имея никаких новых данных, мы с Ниной Николаевной проводили целые часы в пережевывании старых сведений о Георгии
73	2147	данные		0	20-27	Старшина доложил: – Данные старика имеются, товарищ майор. Я взял на заметку
74	2148	данные		1	19-26	Откуда у вас такие данные
75	2149	данные		3	11-18	спортивные данные
76	2150	данные		2	31-38,57-64	Какие у нее прекрасные внешние данные! У вашего сына все данные художника
77	2151	данные		4	17-24	Программа читает данные из буфера для дальнейшей обработки (например, передает в качестве сообщения в канал событий)
78	2152	данные		0	31-38	Быстро записал необходимые мои данные (где родился, где крестился и т. п.)
79	2153	данные		0	101-108	Он позвонил в первый отдел университета, представился полностью: полковник КГБ такой-то – и попросил данные об одном студенте пятого курса
80	2154	данные		0	9-16	Сообщите данные обо всех иностранных участниках конференции
81	2155	данные		0	8-15	По моим данным, у них – сыпняк
82	2156	данные		2	10-17	Природные данные
83	2157	данные		0	36-44	Тренер как-то обмолвился, что с его данными можно стать неплохим «горником»
84	2158	данные		4	17-24	Обработать поток данных на одном компьютере практически невозможно
85	2159	данные		5	5-12	База данных
86	2160	дата		0	88-93	Велел всем написать заявления об увольнении по собственному желанию, с подписью, но без даты
87	2161	дата		0	30-35	А вспомнить, какая вчера была дата, ты, конечно, не мог?
88	2162	дата		0	46-51	Не было даже номера комнаты. Только – время и дата. Я знал, что такие повестки недействительны
89	2163	дата		0	15-20,42-47	Тридцать лет – дата! Пятьдесят лет – тоже дата! Почему их не отметить?
90	2164	дата		0	7-12	Точная дата его рождения неизвестна
91	2165	дата		0	33-38	Бережков, не затрудняясь, назвал дату, когда случился новый поворот в его судьбе
92	2166	дата		0	19-24	Отмечали печальную дату: сорок лет со дня кончины нашей бабушки
93	2167	дата		0	4-9	Эту дату, 5 октября 1958 года, я очень лелеял вначале
94	2168	дата		0	100-105	Поговаривали, что во время войны, пользуясь суматохой и стрельбой, она переделала паспорт, изменила дату своего рождения
95	2169	дата		0	76-81	Подарок-то мы пошлем, но все равно нехорошо, ему ведь пятьдесят лет, особая дата
96	2170	дата		0	28-33	У отца приближалась круглая дата
97	2171	дата		0	0-5	Дата судебного заседания еще не назначена
98	2172	дата		0	16-21	Письмо было без даты – глупейшая женская манера!
99	2173	дата		0	31-36	Радда Юльевна обещала о точной дате выписки сообщить позднее, числа пятого
100	2174	дата		0	0-5	Дата на письме расплылась
101	2175	дата		0	24-29	Распишитесь и поставьте дату
102	2176	дата		0	87-92	Письмо было датировано самыми первыми годами нового века, и город, который стоял около даты, Ганка знал хорошо
103	2177	дата		0	84-89	Впрочем, память у лейтенанта еще не начала отказывать и он помнил почти все цифры и даты, не говоря уже о фамилиях и именах
104	2178	дата		0	14-19	Торжественную дату было решено отметить в ресторане
105	2179	дата		0	30-36	Как и перед всякой выдающейся датой, тюремный режим заметно усилился
106	2180	двойка		1	18-25	Поставить кому-л. двойку
107	2181	двойка		8	96-103	И если […] не вложить в спорт – большой и массовый – солидные суммы, то не догнать нам «бешеной двойки» – американцев и китайцев
108	2182	двойка		2	66-73	Евгений Александрович Каплевич набрал по внутреннему телефону три двойки – номер первого хирургического отделения
109	2183	двойка		3	91-98	Вы с той же осторожностью вынимаете дома карты из оберток, отбираете в каждой колоде тузы, двойки и тройки и смачиваете их слегка особым, мной составленным химическим раствором
110	2184	двойка		2	35-42	В телефонных номерах города первую двойку заменили на шестерку
111	2185	двойка		0	0-7	Двойка означает, что ты ничего не знаешь
112	2186	двойка		2	40-47	Со мной в связке пойдет Тимашев. Вторая двойка – Попов и Рацек
113	2187	двойка		5	55-62	Из остатков теста на противень выложите кусочки в виде двойки и выпекайте
114	2188	двойка		5	25-32	Он говорит: «Мама, я на «двойке» (автобусе маршрута № 2, который взорвался) не поеду»
115	2189	двойка		7	9-16	Получить двойку по алгебре
116	2190	двойка		7	21-28	К концу четверти все двойки были исправлены, кроме географии, по которой Колыванову все не спрашивали
117	2191	двойка		2	41-48	Помню, с каким трепетом ждал я появления двойки с тремя нулями 31 декабря 1999 г
118	2192	двойка		8	108-115	Старайтесь не передвигаться без прикрытия. В зависимости от ситуации – это могут быть так называемые боевые двойки, тройки или четверки
119	2193	двойка		3	17-24	Выпала червонная двойка. Каверин проиграл и огорчился
120	2194	двойка		8	97-104	Формируются и другие «зазеркальные» кровавые органы: особое совещание при НКВД СССР, «тройки» и «двойки» нескольких разновидностей
121	2195	двойка		5	78-86	Как-то мы с приятелем Игорем (он егерь), набив патронташи патронами с дробью-«двойкой», собрались погонять зайцев по окрестным полям
122	2196	двойка		5	34-41	Трамвай № 3 идет по кольцу, а на «двойке» можно доехать до вокзала
123	2197	двойка		3	66-73	Но рука сама, словно чужая, отогнула край брошенной лордом карты. Двойка?!
124	2198	двойка		0	0-7	Двойка похожа на змею
125	2199	двойка		5	17-24	Этапируют его в «двойке» спецвагона – это небольшой отсек на двух человек
126	2200	двойка		4	0-7	Двойка сильнейших
127	2201	двойка		7	46-53	Накануне ботаничка всему классу «А» поставила двойки, потому что велела принести на урок цветок левкоя и никто не принес
128	2202	двойка		3	16-23	У кого козырная двойка?
129	2203	двойка		5	68-75	Если на БМП-1 в ней находился только наводчик-оператор, то в башне «двойки» расположился и командир
130	2204	двойка		8	93-100	Отечественные автомобили с начала семидесятых изменились мало. Разве что на смену вазовской «двойке» пришла «четверка»
131	2205	двойка		5	12-19	На байдарке-двойке «Таймень» мы вышли из Беломорска
132	2206	двойка		2	0-7	Двойка – четное число
133	2207	двойка		8	2-9	В двойку лидеров вошли команды из Франции и Бразилии
134	2208	двойка		0	30-39	Дневник пятиклассника пестрел двойками
135	2209	двойка		6	69-76	Она любила саму себя на своем рабочем месте – в классическом костюме-двойке и элегантных туфельках-лодочках
136	2210	двойка		5	30-37	Стрелка часов еще не достигла двойки
137	2211	двойка		0	27-34	А потом опять шли сплошные двойки. Даже по литературе
138	2212	двойка		2	16-23	В колоде четыре двойки, по одной из каждой масти
139	2213	двойка		8	22-29	Докажите, что степень двойки не может оканчиваться на четыре одинаковые цифры
140	2214	двойка		5	29-38	Альпинисты спускались с горы двойками
141	2215	двойка		7	81-88	Еще в старших классах до них дошло, что директор на педсовете ругает учителей за двойки, и хоть совсем не учись – аттестат тебе выдадут
142	2216	двойка		5	38-45	Однако лейтенант Савич, чуть ли не на двойке (двухвесельной шлюпке) с двумя гребцами, изволил оттуда прокатиться до нас по этим волнам
143	2217	двойка		6	45-52	В 1968–69 годах эстафету подхватила еще одна двойка исследователей в составе Филиппа Энглендеpа и Жака Шабеpа
144	2218	двойка		8	53-60	Члены Натурального Ряда – Ноль, Один (Единица), Два (Двойка) и т. д. – мы пишем с большой буквы, чтобы подчеркнуть их уникальность
145	2219	двойка		8		Именно эта ничья сохранила главную интригу чемпионата, которая в последние годы заключается в противостоянии армейцев и железнодорожников
146	2220	двойка		8	41-48	Наиболее ходовые размеры бюстгальтеров – двойка и тройка
147	2221	двойка		6	33-41	Музыканты были в строгих фрачных двойках
148	2222	двойка		8	89-96	Даже в построенном на европейском уровне «Доме-помидоре» планировка квартир выполнена на двойку
149	2223	двойка		8	36-42	Объявлены результаты чемпионата для двоек
150	2224	двойка		3	41-49	И только колотить тузов / Любил козырной двойкой
151	2225	двойка		8	49-56	теперь, когда «Зенит» и «Спартак» приблизились к двойке лидеров, эту интригу следует трактовать еще более широко
152	2226	двойка		2	102-109	Во всех отделах министерства был получен отпечатанный в типографии приказ министра номер 222, или три двойки, как его называли после этого целый год
153	2227	двойка		8	8-15	Степени двойки
154	2228	двойка		8	150-157	Мы ожидаем, что по итогам минувшего года «МегаФон» опять объявит о неплохих показателях […] где-то на уровне 10,3-10,5 долл., что лучше, чем у первой двойки операторов
155	2229	двор		1	21-29	К метро ближе пройти дворами
156	2230	двор		1	19-24	Мелькнул проходной двор, и я решил срезать – напрямик пойти
157	2231	двор		0	19-24	Парижский монетный двор отчеканил юбилейную монету
158	2232	двор		0	49-55	Торжественно, как королевские герольды сокровище двора, они несли полутораметровый двуручный меч с пламенеющим клинком
159	2233	двор		1	42-48	Три рязанских комбайна стояли на машинном дворе под навесом
160	2234	двор		0	55-61	Одну из комнат занимала бывшая фрейлина императорского двора
161	2235	двор		0	65-71	У меня есть интересные материалы о немецком шпионаже при русском дворе
162	2236	двор		0	7-12	Птичий двор при сельскохозяйственном институте
163	2237	двор		1	42-49	В нашей деревне осталось от силы двадцать дворов
164	2238	двор		1	73-79	Они ссорятся каждый выходной, мама кричит на папу, папа уходит и пьет во дворе с мужиками
165	2239	двор		0	51-58	Доменная печь обладает полностью закрытым литейным двором, выбросы в окружающую среду практически отсутствуют
166	2240	двор		1	34-39	В этом угрюмом селе каждый третий двор зарос сорняками
167	2241	двор		1	22-27	Окна кухни выходят во двор
168	2242	двор		1	61-67	Хотелось спросить, как мать называла его, маленького, как со двора звала домой?
169	2243	двор		0	28-34	Печатные фабрики и монетные дворы «Гознака» надежно охраняются от глаз российского обывателя
170	2244	двор		0	41-48	В старину, говорят, в Козьме было до ста дворов, но теперь нет следов прошлой густоты населения
171	2245	двор		0	43-48	Хозяйство у Байкаловых налаженное, широкий двор с постройками, баня на самой крутизне
172	2246	двор		0	28-34	Кипренский был приглашен ко двору писать портреты великих князей
173	2247	двор		1	47-52	Кирпичные ступеньки вели из подвала к двери на двор
174	2248	двор		0	41-48	Славный рыцарь Альфонсо, сеньор, со всем двором выехал на охоту в своих угодьях
175	2249	двор		1	15-20	Около 19:55 во двор дома № 8 по улице Красногвардейской въехала автомашина марки «Победа»
176	2250	двор		1	69-76	Солнце стояло уже высоко, когда справа от дороги я увидел деревеньку дворов в пятнадцать
177	2251	двор		1	34-39	Перед нами был обычный московский двор – песочница с парой ковыряющихся детей, турник, на котором выбивали ковры, […] помойки, вороны и мачта фонаря
178	2252	двор		0	59-65	Прадед мой – Павел Соломонович – был послом при Английском дворе во время шумного царствования Карла Третьего
179	2253	двор		1	46-52	Гляди-ка… третьего дня тебя видели на птичьем дворе: ни свет ни заря тебе понадобилось собирать яйца из-под наседок!
180	2254	двор		1	25-31	Миновали ворота скотного двора, проехали и остановились меж длинных приземистых коровников
181	2255	двор		1	28-33	У родника построили скотный двор
182	2256	двор		1	17-24	Деревня в десять дворов
183	2257	двор		0	43-49	Предусмотрено строительство хозяйственного двора с мастерскими
184	2258	двор		1	60-66	Заиграл рожок, и деревенское стадо потянулось мимо барского двора
185	2259	двор		0	11-16	Британский двор в родстве с многими правящими домами Европы
186	2260	двор		1	25-31	Надо ж кому-то на конном дворе дежурить, животных кормить, поить
187	2261	дворник		0	59-68	Капли дождя барабанили по лобовому стеклу. Славка включил «дворники»
188	2262	дворник		0	49-57	У него был целый штат прислуги: повар, садовник, дворник, рядом неотлучно находились несколько адъютантов
189	2263	дворник		0	27-37	Шел ливень, и от мелькания дворников рябило в глазах
190	2264	дворник		0	0-10	Дворником оборудована только одна дверь, и в дождь сзади образуется большая «мертвая» зона
191	2265	дворник		0	25-34	В такси Костя смотрел на дворники, скользящие по лобовому стеклу
192	2266	дворник		0	2-11	У дворника должны быть окладистая борода, белый фартук, медная бляха, здоровенные ручищи и подозрительный взгляд
193	2267	дворник		0	28-37	Рано утром на улицы выходят дворники с метлами и лопатами
194	2268	дворник		0	0-8	Дворник соседнего дома поливал асфальт из шланга
195	2269	дворник		0	0-9	Дворники в белых фартуках убрали осколки стекол и засыпали песком кровавые лужи
196	2270	дворник		0	25-35	По штату полагалось трое дворников, ибо двор был – несколько соединенных дворов, общей площадью два гектара
197	2271	дворник		0	11-21	Под правым дворником водитель обнаружил штрафную квитанцию
198	2272	девка		1	26-33	Маруся долго оставалась в девках
199	2273	девка		1	143-151	Несравненно в более горьком положении была женская прислуга, и в особенности сенные девушки, которые на тогдашнем циническом языке назывались «девками»
200	2274	девка		13	11-17	крепостная девка
201	2275	девка		14	49-57	А так по крайней мере начальники наши не будут с девками в банях париться и вообще распутничать
202	2276	девка		11	32-38	Собаки залаяли, дворовые люди и девки зашныряли по разным направлениям – мы приехали
203	2277	девка		9	14-20	Набежала куча девок, проворно накрыли стол в зале, и мы вместе с бабушкой и тетушкой очень скоро сели за обед
204	2278	девка		7	10-16	Она у нас девка решительная
205	2279	девка		0		девочка; развратница
206	2280	девка		0	17-23	Две сестры – обе девки, уж в летах
207	2281	девка		9	0-6	Девка подавала самовар
208	2282	девка		14	5-11	Одна девка на весь дом служит
209	2283	девка		8		шалава
210	2284	девка		1	33-39,107-114	Я, значит, по-твоему, чуть ли не девка подзаборная, спать с любым могу, мне это все равно, значит? Местным девкам не выдержать конкуренции нахлынувших сюда лондонских шлюх
211	2285	девка		1	38-44	Ее не хотели лечить – как же, грязная девка, забеременевшая без мужа
212	2286	девка		1	126-132	И была [в моем классе] атаманша-второгодница из другой школы Тамарка, хулиганистая, драчливая и не лишенная привлекательности девка, которую все боялись
213	2287	девка		4	36-42	Еще в роддоме все ахали – вырастет, девки будут хороводы вокруг него водить!
214	2288	девка		1	113-119	Сколько раз я в жизни наблюдал: как только стукнет даме под пятьдесят, а в особенности если она вдова или старая девка, то так и тянет ее около чужой любви покрутиться
215	2289	девка		11	81-88	На щите перед кинотеатром был изображен летящий в звездном небе мотоцикл с голой девкой верхом
216	2290	девка		8		потаскуха
217	2291	девка		5	13-20	Засидеться в девках
218	2292	девка		10	13-19	Крестьянские девки
219	2293	девка		6	8-14	Уличная девка
220	2294	девка		2	8-14	снимать девок
221	2295	девка		12		шлюха
222	2296	девка		11	66-72	Потекла воя площадь за речку к барской усадьбе – крестьяне, бабы, девки, ребята малые, старики, старухи
223	2297	девка		0	61-68	Три мальчика в гимназии, а еще три дочки при мне находятся в девках
224	2298	девка		12		проститутка
225	2299	девка		11	0-6	Девки за ним табунами бегали
226	2300	девка		4	3-9	Он девок водит
227	2301	девка		1	23-29	Стыд-то какой! Что я – девка молодая, кремы покупать!
228	2302	девка		1	37-43	Вышла [замуж] и стала, значит, уж не девка простая, а Настасья Семеновна Жохова, городская мещанка
229	2303	девка		0	25-32	Не одна Нюра, конечно, в девках сидела, но у других хоть были либо родители, либо братья и сестры, либо еще кто, а у нее – никого
230	2304	девка		3	8-14	Послали девку с запиской
231	2305	девка		1	70-76	Все сбережения отнесла однокласснице – маклеру Любке Козиной, грузной девке в спортивном костюме
232	2306	девка		9	45-51	Скрипнула дверь, вошла уборщица – белобрысая девка с ведром и тряпкой в руках
233	2307	девочка		2	16-24	В школе учились девочки самых разных национальностей
234	2308	девочка		1	55-63	Помню, отец страшно распекал ассистентку – молоденькую девочку, которая где-то там загуляла, поздно вернулась в гостиницу
235	2309	девочка		0	16-24	Его жена – юная девочка
236	2310	девочка		1	20-28	Вдоль трассы мерзли девочки в коротких юбках
237	2311	девочка		1	84-92	Лучше всего это удавалось делать в банях, где он выписывал «крестным отцам» веселых девочек
238	2312	девочка		1	12-21	Скажите, вы девочкой любили играть у моря в камешки?
239	2313	девочка		0	0-8	девочка-студентка
240	2314	девочка		4	32-40	А через девять месяцев родилась девочка. Назвали Снежана
241	2315	девочка		1	6-14	Позже девочка переехала в Москву и перевелась в МГИМО
242	2316	девочка		3	0-8	Девочки взрослеют раньше мальчиков
243	2317	девочка		1	45-55	На худой конец, можешь гулять с общежитскими девочками
244	2318	девочка		1	21-29	Узкоглазая смешливая девочка за стойкой приняла наши паспорта и выдала нам по регистрационному бланку
245	2319	девочка		4	36-44	Родители ждали мальчика, а родилась девочка
246	2320	девочка		1	31-39	Преступники поставляли русских девочек для стрипбаров в Америке
247	2321	девочка		0	8-16	Молодая девочка
248	2322	девочка		1	25-33	Если сравнивать тверских девочек, которые работают на трассе, то, конечно же, «саунные» конкурентки более ухоженные и привлекательные
249	2323	девочка		1	84-92,95-103,121-129	Свободно печатаются объявления даже не «Досуг» и «Сауна», а обезоруживающе прямо – «Девочки», «Девочки в вашем районе», «Девочки срочно»
250	2324	девочка		2	24-32	В классе было всего три девочки
251	2325	девочка		3	9-17	ребята и девочки
252	2326	девочка		4	36-45	Она в семье своей родной / Казалась девочкой чужой
253	2327	девочка		1	0-8	Девочки в секретариате трепались, скучая без дела
254	2328	девочка		1	22-30	Я увидел крестьянскую девочку лет пяти, с круглым любопытным личиком, с невинно выпученными глазенками
255	2329	девочка		1	45-54	Учительница указала ей место рядом с толстой девочкой с бубликами косичек над ушами
256	2330	девушка		2	53-61	Рядом с ним какой-то молодой человек показывал своей девушке книги по искусству
257	2331	девушка		2	12-20	У тебя есть девушка?
258	2332	девушка		2	65-73	Так вот, будьте любезны съездить на велосипеде для своей любимой девушки, – распорядился Иван Васильевич
259	2333	девушка		2	92-100	Средний возраст вступления в первый брак сегодня – 26 лет для молодых людей и 23 года – для девушек
260	2334	девушка		2	53-62	В традициях этого народа до свадьбы невеста остается девушкой
261	2335	девушка		3	10-19	Мы с моей девушкой расстались
262	2336	девушка		4	40-48	Приезжавшая к графу его сестра, пожилая девушка, видя брата в отчаянном состоянии, просила его пойти в кирку помолиться
263	2337	девушка		4	106-114	Она посмотрела снизу вверх и сообщила как-то очень отчетливо, чтобы он не мог отшутиться: – Знаете, я еще девушка
264	2338	девушка		2	42-50	Мысли и чувства, необыкновенные в простой девушке, поразили Алексея
265	2339	девушка		0	7-15	Старая девушка
266	2340	девушка		2	54-62	Как-то раз Мещерский сказал Травкину: – Замечательная девушка эта связистка
267	2341	девушка		1	19-27	Его подруга уже не девушка
268	2342	девушка		2	31-41	Он танцевал с самыми красивыми девушками и предлагал их проводить в собственном авто
269	2343	девушка		3	63-71	– А если б я ушла от мужа, – спросила она, – ты бы бросил свою девушку?
270	2344	девушка		2	67-75	Конечно, нельзя забывать про любовную линию – какой супергерой без девушки
